Serial Number,Project,Dimension,Matters Requiring Engineering Support and Progress,Marketing Required Time,Project Communication Time,Lagged,Whether it can be sold
,Cuiwan Zhongcheng,Other,"Smooth delivery of Area C, no negative public opinion regarding delivery.",7/30/2024,7/30/2024,,No
,Gucui Yinxiu,Scenario Delivery,Second batch 252 model room and demonstration area,10/1/2024,10/20/2024,,No
,Gucui Yinxiu,Scenario Delivery,The swimming pool can be heated and operated normally.,7/30/2024,No progress yet,,No
,Gucui Yinxiu,Supply Assurance,Obtaining the pre-sale permit for the second batch,8/1/2024,8/30/2024,,No
,Future Times,Community Quality,"Landscape and greenery quality maintenance in the actual site park, ensuring the viewing experience of the completed properties.",Continuously,/,,No
,Star Map,Engineering Efficiency Improvement,"The construction progress of Building 15 continues on track, with the exterior facade to be presented before 930.",9/30/2024,9/30/2024,,No
,Star Map,Engineering Efficiency Improvement,"Ensure continuous and full resumption of work for Building 14, and improve progress to complete topping out before August 31.",8/31/2024,8/31/2024,,No
,Star Map,Community Quality,"Landscape greening in delivered areas and sky-lit floors, as well as real scene model rooms, continuously ensure quality presentation to guarantee customer visiting experience.",Continuously,/,,No
,Yunhe Jinshang,IP Support,Establish IP co-branded communication practices in the form of a botanical garden collaboration or practical course base.,7/30/2024,No progress yet,,No
,Yunhe Jinshang,Scenario Delivery,"High-rise 7# Building Model Room, the 143-end unit townhouse area to the west of High-rise 7 Building, and the main axis landscape between high-rise and townhouse buildings (to be confirmed by the bidding unit)",7/30/2024,No progress yet,,No
,Yunhe Jinshang,Scenario Delivery,"Real commercial street scenario presentation, introducing anchor stores, planning the opening of the commercial street, and creating the real future scenario (招商待上会: business recruitment pending board approval)",7/30/2024,"Sold, Stagnant",,No
,Yunhe Jinshang,Scenario Delivery,"Tower 13, 15, 16, and 17 of the apartment buildings have been fully topped out, with the exterior facade along the road interface displayed.",7/30/2024,No progress yet,,No
,Yunhe Jinshang,Supply Assurance,"Resumption of work for Tower 18/25 apartment building has been approved, but no certificate has been obtained yet; currently one month behind schedule.",7/30/2024,No progress yet,,No
,Yuntu,Engineering Efficiency Improvement,22#23# Exteriors and Window Frames Start Construction,7/30/2024,No progress yet,,No
,Zhoukou Longtang,Scenario Delivery,16# Building topped off by the end of July,7/30/2024,8/25/2024,,No
,Zhoukou Longtang,Engineering Efficiency Improvement,"Speed up the hoisting of the climbing scaffold for Building 17 to the fourth floor, accelerate the construction schedule to meet the pre-sale conditions, and unlock online signing (currently at 2.5 floors).",7/20/2024,7/25/2024,,No
,Yuntu,Community Quality,"Residential leakage issues resolution after delivery (maintenance, engineering, customer relations)",7/30/2024,Ongoing Maintenance,,No
