Task Name,Resource Name,Work Hours Completion Percentage,Work hours,Unit
Land Expansion,Development Department,0%,"2,176 hours",100%
Regional Company Development Department Provides Intended Project Information to the Group,Development Department,0%,8 hours,100%
Investment Analysis Results in the Land Stage,Development Department,0%,72 hours,100%
1. Project Investment Proposal,Development Department,0%,40 hours,100%
Market Research and Data Collection,Development Department,0%,24 hours,100%
"Prepare the report ""Company Strategic Intent, Market Assumptions, and Customer Positioning""",Development Department,0%,40 hours,100%
2. Project Preparatory Plan,Development Department,0%,40 hours,100%
3. Project Investment Analysis Model (Land Version),Development Department,0%,8 hours,100%
PMO Meeting Review and Argumentation,PMO,0%,16 hours,100%
Investment Committee Review,Development Department,0%,8 hours,100%
Obtain the Letter of Award,Development Department,0%,0 hours,100%
Project Company Registration,Administration Department,0%,776 hours,100%
Prepare the materials required for the project company registration,Administration Department,0%,88 hours,100%
Determine the project company's registered agent company and sign the contract,Administration Department,0%,80 hours,100%
Register the project company and obtain the business license and official seal.,Administration Department,0%,448 hours,100%
Complete foreign exchange settlement,Administration Department,0%,240 hours,100%
"Land Transfer Contract (including boundary survey, topographic mapping, etc.)",Development Department,0%,984 hours,100%
Postponed signing of land transfer contract,Development Department,0%,264 hours,100%
Understand the government's internal process and approval procedures for signing land transfer contracts in Shanghai.,Development Department,0%,40 hours,100%
Understand the difficulties and key individuals to be addressed in public relations for the delayed signing of land transfer contracts.,Development Department,0%,40 hours,100%
Conduct government relations to delay signing the land transfer contract,Development Department,0%,216 hours,100%
Complete Demolition,Development Department,0%,264 hours,100%
Confirm the completion time of demolition and relocation,Development Department,0%,64 hours,100%
Urge the government and first-level development companies to complete demolition and relocation on time.,Development Department,0%,264 hours,100%
Land Contract Signing,Development Department,0%,56 hours,100%
Pay 10% of the land price,Finance Department,0%,8 hours,100%
Pay the remaining 90% land price and all deed tax,Finance Department,0%,240 hours,100%
Apply for the Construction Land Use Planning Permit,Development Department,0%,152 hours,100%
Processing the Certificate of Approved Construction Land,Development Department,0%,88 hours,100%
"Obtain the topographic map of the land, planning boundary report, etc.",Development Department,0%,40 hours,100%
Application Form for Construction Land Planning Permit,Development Department,0%,8 hours,100%
Construction Land Use Planning Permit Approval,Development Department,0%,64 hours,100%
Obtain the Construction Land Use Planning Permit,Development Department,0%,0 hours,100%
Handle the State Land Use Right Certificate,Development Department,0%,360 hours,100%
Data Preparation,Development Department,0%,240 hours,100%
Prepare the Construction Land Approval Document,Development Department,0%,8 hours,100%
Prepare Construction Land Use Planning Permit,Development Department,0%,8 hours,100%
All land price payment certificates,Finance Department,0%,8 hours,100%
Real Estate Transfer Tax Payment Voucher,Finance Department,0%,8 hours,100%
Cadastral Map,Development Department,0%,8 hours,100%
Land Certificate Application Form,Development Department,0%,8 hours,100%
Land Use Right Certificate Approval,Development Department,0%,120 hours,100%
1. Obtain the State Land Use Right Certificate,Development Department,0%,0 hours,100%
2. Land handover (Development Department to Engineering Department),Development Department,0%,80 hours,100%
"Development Department transfers project materials to the R&D Department (transaction confirmation letter, regional control plan materials, project planning conditions, meeting materials, etc.)",Development Department,0%,8 hours,100%
Process bank loan,Finance Department,0%,672 hours,100%
"Prepare documents submission application (requires state land certificate, land use planning permit)",Finance Department,0%,56 hours,100%
The bank accepts the application and entrusts the evaluation agency to assess the project; the company entrusts the land evaluation agency to assess the land.,Finance Department,0%,168 hours,100%
Branch submits for approval to the provincial branch meeting,Finance Department,0%,168 hours,100%
Low-density projects require submission for approval by the head office.,Finance Department,0%,112 hours,100%
Sign the loan contract and handle the land mortgage registration,Finance Department,0%,112 hours,100%
Down Loan (Four Certificates),Finance Department,0%,56 hours,100%
Project Initiation,Project Team,0%,360 hours,100%
Build the project team,PMO,0%,360 hours,100%
Establish the project department organizational structure,Project Leader,0%,240 hours,100%
Establish engineering management system,Project Leader,0%,240 hours,100%
Team Training,Project Team,0%,120 hours,100%
Project Initiation Phase Outcomes,Project Team,0%,120 hours,100%
4. Project Positioning Report,Marketing Department,0%,80 hours,100%
"Planning Scheme, Introduction of Planning Indicators",R&D Department,0%,16 hours,100%
Product Requirements and Recommendations,Marketing Department,0%,64 hours,100%
"Recreational facilities, commercial areas, public areas, and residential configuration standards",Project Team,0%,48 hours,100%
Rough-in Planning for Finishing (if applicable),Marketing Department,0%,64 hours,100%
The development and sales plan of the project,Project Team,0%,56 hours,100%
"5. ""Project Primary and Secondary Schedule""",Project Leader,0%,80 hours,100%
"6. Cost Sensitivity Analysis, Value Allocation, and Target Cost Preset",Cost Department,0%,80 hours,100%
"Various Cost Forecast Analysis (Land Cost, Construction Cost, Period Expenses, Total Cost)",Cost Department,0%,80 hours,100%
