Here are some additional topics you might like to use throughout the year ,Unnamed: 1,Click here for the most up-to-date learning challenges 
Topics,Learning Calendar (zip file resources will download),Description
Performance Cycle ,The Gif t of Feedback ,Discover new lessons every day which can be completed in around 5-10 minutes
Leadership Skills,Become a More Effective Leader and Manager,"Gain the knowledge and tools you need to excel as a leader, manager, and part of a team. Don’t worry if you miss a day — you can always catch up tomorrow."
,Boost Your People Management and Coaching Skills,Become a leader who builds thriving teams that grow business. Don’t worry if you miss a day — you can always catch up tomorrow.
Artificial Intelligence,A Beginner's Guide to Generative AI,Get to know the basics of generative AI and learn how you can apply it to your everyday work. Don’t worry if you miss a day — you can always catch up tomorrow.
,Introduction to Articial Intelligence and Machine Learning,Learn foundational concepts for machine learning and how to apply one of today’s most popular skills to your work. Don’t worry if you miss a day — you can always catch up tomorrow.
Data Analytics,Explore the Basics of Data Analytics,"If you’re eager to unlock the insights hidden within your data, these foundational courses can help. Don’t worry if you miss a day — you can always catch up tomorrow."
Learning Month ,Learning Habits ,Discover new lessons every day which can be completed in around 5-10 minutes.
Career Development ,Planning Your Career Path,Explore new videos every day that can be completed in around 5 minutes. Don’t worry if you miss a day — you can always catch up tomorrow.
,Upskill to Advance Your Career,Explore new videos every day that can be completed in around 5 minutes. Don’t worry if you miss a day — you can always catch up tomorrow.
Hybrid Work,Say Hello to Hybrid ,Discover new lessons every day which can be completed in around 5-10 minutes.
Most In Demand Skills 2024,The top 10 most in-demand skills in 2024,Gain today's must-have skills to expand your knowledge and prepare for what's next in your career. Don't worry if you miss a day - you can always catch up tomorrow
Change,Thriving Through Change ,Discover new lessons every day which can be completed in around 5-10 minutes.
