"Fillingrequirements:Anchortothemonthlyregionaltaskprogress,analyzereasonsforcompletion/delays,andoutlinecatch-upactionsrequiredtocompletethemonthlytasks;completeby9PMeverySunday.-Project",ResponsiblePerson,RegionalTaskProgressandGap,"ReasonAnalysis(Analyzethereasonsforthelaginpurchase/salesprogressandcorrespondingcatch-upactions;Forprogressexceedingtargets,analyzetheeffectivenessoftheactionsandhowtomaintainthem)","PursuitActions(Actionstopursuetaskcompletion,includingvisitation,conversion,pendingsigning,team,etc.,alongwithcorrespondingtargets;markinredifapplicationandsupportareneeded)",Unnamed: 5,Unnamed: 6,Unnamed: 7
Yunhe Jinshang,Wu Shaonan,"Pre-registered 52 units, 88.99 million yuan, expected to complete 160 million yuan (net); signed 9.09 million yuan, expected to sign 127.5 million yuan.","Purchase on track, but signing lags behind the timeline;  
① The ""trade-in"" process is still not fully operational, accounting for a large number of pending signings; ② There are still 25 units worth 53.61 million RMB in potential withdrawal or cancellation resources; ③ In new purchases, the volume of ""trade-in"" is relatively high, and timely signing of newly added purchases is insufficient.","**Visit End: Communication and Scenario Planning:**  
① Promotion Strategy → Continue with the ""Project Momentum Emotional Value"" approach, using value storytelling, scenario participation, and IP-based core communication paths;  
② Exposure → Create an online网红 (internet celebrity) case site + project live broadcast planning matrix platform, with exposure and live broadcast lead generation through quarterly, monthly, and key node placements;  
③ Scenario Story Case Site Packaging Optimization  

**Conversion End: Team Management and Sales Strategy:**  
① Lock in key sales nodes for June Dragon Boat Festival, 618, and 630, and formulate sales policy guidelines;  
② Price restructuring for high-end units in Unit 8# East, with an additional push during the Dragon Boat Festival;  
③ Focus on ""trade-in for new"" clients and launch dedicated live broadcast topics for online promotion;  
④ Parking space sales lead generation, report regional decision-making for opening after the holiday, and plan to accumulate one week of retail sales for shop opening sales;  

**Major Project and Company Support:**  
1. Resumption and replenishment: Apartment buildings 18, 22, 23, and 25 have resumed work; pre-positioned replenishment for 18 and 25# as mid-year sprint inventory;  
2. Display optimization: High-rise model floor adjustment and apartment G-type unit adjustment by end of June; boundary apartment exterior by June 30;  
3. Second batch product strategy and unit plan refinement finalized;  
4. Botanical Garden IP: Implementation of botanical garden signing or other course base plaque ceremony to form IP communication and story-based case site support, May 30; Responsible persons → Qu Quanyue, Liu Yang, Zhang Rui, Li Xiaoxia;  
5. Live broadcast traffic payment coordination: Ling Xia is temporarily not pre-paying for traffic fees due to payment issues, resulting in a 40% drop in live broadcast exposure, 50% drop in leads, and 30% drop in visits (existing resources are being followed up);  
6. Trade-in for new: Company-level dedicated team coordinates Chengfa and Housing Bureau to expedite ""trade-in for new"" unit signing progress",,,•
Gucui Yinxiu,Wang Qian,"已认购3套、1432万，预计可完成2812万；已签约468万，预计可签约2869万。  
Translation:  
3 units purchased for 14.32 million, expected to complete 28.12 million; 4.68 million signed, expected to sign 28.69 million.","① Only top-floor units are available for sale, and customers have significant resistance to top floors, making it difficult to guide them; ② Customers have insufficient funds, some require trade-ins, and there is uncertainty in the evaluation process; ③ The second batch progress is slow, and many customers are paying attention, worrying about future developments.","Visiting End:  
① Online property consultants collaborate with in-house channels for joint live broadcasts to continuously acquire customers online; ② Visit and expand key distribution stores in the surrounding areas;  
2. Conversion End:  
① Special application for top and bottom unit pricing on a per-unit basis; ② Strengthen the packaging and release of housing discount strategies on a weekly basis; ③ Ensure on-site property viewings and professional explanations by engineering staff for every visiting customer group;  
3. Commercial Units:  
① Due to combined units and later design adjustments, some actual areas differ from the survey reports; after re-verifying the blueprints with the design team, the street maps and price lists have been adjusted accordingly; ② Carry out external marketing and customer accumulation for commercial units.",,,
Cuiwan Zhongcheng,Wang Yangyang,"Pre-registered 16 units, 24.44 million yuan, expected to complete 72.44 million yuan; (3 weeks remaining, 10 new pre-registration units target per week)  
Signed 4.3 million yuan, expected to sign 82.32 million yuan  
(New pre-registration to signing conversion rate 70%).","① Group complaint impact: Among the visiting customers this week, 63 groups (35%) were affected by group complaints, including 16 groups of potential/returning customers and 4 units of pending signing/sales customers impacted;  
② In addition to distribution channels, the visit and sales volume from self-channels and self-visits need to be specifically improved.","1. Visitor End: ① Focus on promotion: Online, focus on ""Night Flash Sale"" and the ""618"" event to amplify outreach and increase visitor traffic. ② Expand customer acquisition channels: In addition to distribution channels, increase the number of online live streaming sessions and duration; self-channel increases offline competitor expansion, increasing the proportion of non-distribution visitor conversions.

2. Conversion End: ① Retrain on objection handling scripts for Area C group complaints, create visual materials comparing before-and-after photos of rectifications, conduct on-site visits for key clients, and resolve issues one-on-one. ② Key store owners/brokers conduct on-site inspections of Area C, make positive statements, and cover and counteract negative information.

3. Others: ① Improve sales team morale; apart from the impact of group complaints on mindset, Taichen focuses on commission issues, and Weijia needs to add two senior staff members. ② Recently, competitive comparison has improved; conduct specialized training to address competitive talking points (Zhengguai/Yuexiu).",,,
Future Times,Lu Yanyan,"已认购15套、3247万，预计可完成6247万；已签约1771万，预计可签约8066万。  
Translation:  
15 units, 32.47 million RMB have been reserved; an estimated 62.47 million RMB can be completed; 17.71 million RMB have been signed, with an estimated 80.66 million RMB expected to be signed.","① The remaining units are mostly top and bottom floors, requiring guidance; the customer cycle is slightly longer.","1. Visitor End:  
① Utilize the kindergarten renovation fence to increase site signage and guidance within the community to ensure smooth natural visitor traffic; ② Continuously strengthen the online communication of the clearance phase, conduct cross-visit follow-ups with customers who visited from March to June but did not make a purchase, to stimulate demand from existing customer resources; ③ Strengthen the communication of the clearance phase, collaborate with Ke.com and 58.com, and leverage the momentum of strong sales to drive further interest; ④ Utilize the clubhouse facilities, collaborate with property management and customer relations, and organize ongoing engagement activities for current and soon-to-be residents to promote the clearance phase and referral policies.  

2. Conversion End:  
① Based on the remaining inventory structure, develop individual guiding scripts and pricing discount strategies, provide one-on-one guidance and pressure tactics to recommend suitable units to targeted customers; ② After moving the reception location into the community, standardize the reception route, set fixed reception points within the community with corresponding scripts, enforce reception duration requirements, and increase on-the-spot purchases and revisit rates; ③ Enhance the details of post-sale property services, allow customers to experience the quality of future property services through their visit route, thereby improving conversion rates; ④ Maintain the fresh appearance of remaining ready-to-move-in units, produce maintenance videos for ready-to-move-in units to ensure a positive customer experience.  

3. Other Special Projects:  
① Focus on the latest reception location and route, continuously optimize sales tools and detailed scripts;  
② Combine with the June ""Leisure Life Festival"" theme, utilize the clubhouse real-life setting and the lifestyle of current residents to produce lifestyle summer night scene videos.",,,
City Skyline,Hu Songyan,"Already purchased 1 unit, 1.44 million yuan, expected to complete 90 million yuan; already signed 100,000 yuan, expected to sign 8.624 million yuan.","Task progress lags behind the timeline  
① At the beginning of the month, the number of potential clients held by property consultants decreased, and overall visitation did not show a significant increase; continuous customer accumulation is needed;  
② Clients' hesitant mindset has not changed. The 5.17 policy adjustment has temporarily negatively impacted demand-driven projects, causing clients to remain in a wait-and-see mode and not rush to purchase, making it difficult to quickly improve conversion rates.","1. Visitor End: ① Focus on the additional launch of Building 10, highlighting core values such as ""the last building of the entire phase,"" ""rare mid-rise building,"" and ""upgraded standard finishes"" to strengthen promotion and increase visitor traffic; ② Combine with the summer gift rights distribution event at the already launched sales office of Shanshan Outlets, and use part of these as visitor gifts for clients; ③ Continue to emphasize the clearance special-priced units in Building 4 and the additional launch of the last building in the entire phase for Building 10, and coordinate with distribution channels and in-house channels for live broadcast promotion; ④ Continuously produce construction progress comparison charts, release in advance the message that the building will be topped off by the end of the month as a near-completed property, combined with clearance special-priced units and the additional launch, to enhance online lead generation; ⑤ Preheat online for the ""618 Home Buying Festival"" event node.  
2. Conversion End: ① Package the group-purchase discount message for the ""618 Home Buying Festival"" to promote increased conversion during the week; ② Arrange property consultants and planners to visit units in Building 10, take photos and videos of the view from mid-to-high floor units, and use them as tools for consultants to encourage finalization of purchases; ③ Switch the parking space discount message for the ""66 Urban Skyline Life Festival"" and incorporate it into the ""618"" event, to promote conversion and purchase commitments.  
3. Other Special Projects: Collaborate with the engineering team to optimize the new model room layout and elevator experience; develop dual finish standard guidance scripts and conduct training.",,,
Zhoukou Longtang,Li Chenlong,"已认购16套、11.74 million, expected to complete 24.74 million; signed 3.43 million, expected to sign 37.49 million.","① Customers have strong resistance to off-plan purchases, with heavy wait-and-see attitudes, making it difficult to invite returning customers for follow-up visits.  
② Competitor pricing (Wanjī has reduced prices to a starting price of 3,900 RMB per square meter) continues to decline, lowering customer price expectations.  
③ There are 47 remaining units in the second batch (only 12 units left out of 122 total, mostly in high-rise areas), which will enter a large-scale off-plan sales situation in 2026.","1. Visitor End: ① Focus on the additional launch of Building 17, highlight the advantage of upgraded unit sizes, and create a differentiated competition with the first and second batches of units. Leverage key moments such as the 618 event, mid-year sales push, and pre-occupancy inspections of the first batch units to collaborate with distributors and KOLs to attract customers. ② Utilize the ""Sharing Home"" policy to deeply engage employees, homeowners, competitors, and cross-industry resources to broaden customer sources. ③ Continuously expand group-buying opportunities from government agencies and enterprises. ④ Increase the frequency of homeowner events to enhance referral rates from existing customers.

2. Conversion End: ① Strengthen the promotion of the advantages of Building 17's unit designs and provide training on counterarguments regarding delivery timelines to minimize the negative perception of delivery delays. ② Tailor communication strategies for each unit in the first and second batches, clarify the sales logic for the third batch, and maximize customer conversion. ③ Package key moments: Use the 618 Housing Festival and the additional launch of Building 17 to create urgency and drive customer decisions.

3. Others: Finalize the finishing standards for the model unit of Building 19 as soon as possible and open it for external display.",,,
Star Map,Yang Xiaoshan,"已认购7套、459万，预计可完成1629万；已签约195万，预计可签约2250万。

Translation:

7 units, 4.59 million RMB have been reserved, with an estimated completion of 16.29 million RMB; 1.95 million RMB has been signed, with an estimated signing of 22.5 million RMB.","① The area's visitor traffic remains consistently low, with around 40 groups visiting per week, and the customer quality is average; most customers are hesitant and want to compare more options before considering discounts.  
② Due to the impact of 15% down payment and interest rates, customers are significantly shifting to city-center projects, increasing the difficulty of conversion.  
③ High evaluations have released quotas, but the initial impact on first-time visitors is limited, making it difficult to encourage return visits.","1. Visitor End:  
① Focus on the hot addition of Unit 15# West, which is about to be topped out, and promote multiple key nodes for the Mid-Year 618 sales drive to attract visitors;  
② Leverage the parking space policy to re-contact all owners, especially those who have taken over their units, continue the open-air film festival, and promote the old-to-new referral policy;  
③ Provide watermelons and cooling items at key distribution stores to strengthen customer engagement;  
④ Continue night outreach activities at Jinyi City.  

2. Conversion End:  
① Organize sales teams to visit several high-sales concentration projects in the city to analyze objections and refine talking points;  
② Use the additional Unit 15# West units combined with the 618 promotional discounts to apply dual pressure on customers;  
③ Prepare a visual aid table comparing the time difference between purchasing a nearby unfinished unit and purchasing ours to assist in customer conversion.  

3. Others:  
Collaborate with the design team to add 120 soft furnishing model units to enhance customer's sense of scene and experience.",,,
Yuntu,Wu Feifei,"已认购6套、432万，预计可完成1517万；已签约271万，待签可签357万，预计可签约1532万。

Translated to English:

6 units purchased for 4.32 million, expected to complete 15.17 million; 2.71 million has been signed, 3.57 million is pending signing, expected to sign 15.32 million.","① The number of visitors continues to decline, with zero visitors from Tuesday to Thursday during the week. Before the Dragon Boat Festival, distribution focused on site visits and policy releases, resulting in 11 visitor groups that week:  
② 119-unit type: This week, 4 visitor groups expressed demand for the 119-unit type, showing resistance to the delivery time of Building 22, prolonging the conversion cycle;  
③ The main client Wanbang is entering a slow season, hesitant to use funds for home purchases due to concerns about cash flow, leading to a decline in purchasing intent.","1. Visitor End: ① Go out to visit clients at their workplaces; visited 62 groups during the Dragon Boat Festival, with 2 groups of old clients bringing in new clients; consistently organize community activities, such as organizing a homeowner badminton challenge this week; ② Identify key clients who have already made purchases, and regularly organize afternoon tea visits for 4 groups per week to maintain relationships and expand the project's influence; ③ Organize concentrated night outreach activities at Tianze City in the evenings; ④ Bind the property consultants' self-acquisition capabilities with on-site visit resource allocation; ⑤ Focus on maintaining relationships with 17# homeowners to increase 119 new client referrals;  
2. Conversion End: ① ""618 Early Access to Great Homes"" – package exclusive discounted home sales policies to attract clients in advance; ② Organize a building tour for 22#, clarify the building's value, understand construction progress, and convert this into client guidance statements;  
3. Others: Package the sales scene for the 630 project delivery at the sales site to reinforce the value of the ready-to-move-in property.",,,
Lanjiao,Zheng Lianlian,"0 units purchased, 0 million yuan; expected to complete 4 million yuan; 0 million yuan signed, expected to sign 4 million yuan.","① Affected by the market decline, customers lack confidence in purchasing properties in remote suburban areas, and there is a lack of rationale for buying villas in remote suburbs; ② The inventory of villas is mainly located on the north-south roadside, offering limited choices for customers; ③ The listing volume of second-hand villas is large, and prices continue to decline, resulting in significant competitive pressure from second-hand villas.","1. Visitor End:  
① First, communicate with each agent who brings visitors, and lock 2 units for external release using the ""work compensation housing"" approach to attract agents for property viewings;  
② Seize the opportunity of increased distribution points to centrally gather key sales-focused villa agents and store agents to shoot promotional videos at the project site, enhancing promotional heat;  
③ Re-engage former Lianjiao Villa sales consultants and top sales performers, inform them of current pricing and available units to promote customer referrals;  
④ Introduce employee policies to encourage the utilization of employee network resources;  
⑤ Conduct cross-visitations with clients who visited last year but did not make a purchase to assess their current interest level.  

2. Conversion End:  
① Assign property management to conduct detailed organization of the unit status to ensure good display conditions and enhance customer experience;  
② Arrange property management to organize the surrounding interface of the project to improve the presentation status.",,,
Yunlu,Zheng Lianlian,"0 units purchased, 0 million yuan, expected to complete 1.85 million yuan; 1.5 million yuan has been signed, expected to sign 3.35 million yuan.","① Affected by the market decline, customers lack confidence in purchasing properties in remote suburban areas, and there is a lack of rationale for suburban villa purchases; ② Large financial deals are becoming more difficult due to banking policies, and there are currently no new potential customers.","1. Visitor End: ① Seize the opportunity of raising distribution points to centrally gather key sales-focused villa real estate agents and store brokers to the project for promotional video shooting, enhancing publicity and popularity; ② Continuously coordinate with finance and existing customer resources to expand large financial bulk sales orders;  
2. Conversion End: For the main sales units, arrange property management to conduct refined unit status management to improve the unit display conditions;",,,
