知识的学习,知识学习的概述,知识的类型,据反映活动深度不同,感性知识：是对活动外表特征和外部联系的反映，可分为感知和表象两种水平。,感性知识：是对活动外表特征和外部联系的反映，可分为感知和表象两种水平。
知识的学习,知识学习的概述,知识的类型,据反映活动深度不同,理性知识：反映的是活动的本质特征与内在联系，包括概念和命题两种形式。,理性知识：反映的是活动的本质特征与内在联系，包括概念和命题两种形式。
知识的学习,知识学习的概述,知识的类型,据反映活动的形式不同,陈述性知识:也叫描述性知识，是个人能用言语进行直接陈述的知识。目前学校教学传授的主要是这类知识。,陈述性知识:也叫描述性知识，是个人能用言语进行直接陈述的知识。目前学校教学传授的主要是这类知识。
知识的学习,知识学习的概述,知识的类型,据反映活动的形式不同,程序性知识：也叫操作性知识，是个体难以清楚陈述、只能借助于某种作业形式间接推测其存在的知识。加涅认为，程序性知识包括心智技能和认知策略两个亚类。,程序性知识：也叫操作性知识，是个体难以清楚陈述、只能借助于某种作业形式间接推测其存在的知识。加涅认为，程序性知识包括心智技能和认知策略两个亚类。
知识的学习,知识学习的概述,知识学习的类型,据知识本身存在形式和复杂程度,符号学习：指学习单个符号或一组符号的意义，或者说学习符号本身代表什么。符号学习的主要内容是词汇学习，也包括非语言符号（如实物、图像、图表、图形等）和事实性知识的学习。,符号学习：指学习单个符号或一组符号的意义，或者说学习符号本身代表什么。符号学习的主要内容是词汇学习，也包括非语言符号（如实物、图像、图表、图形等）和事实性知识的学习。
知识的学习,知识学习的概述,知识学习的类型,据知识本身存在形式和复杂程度,概念学习：指掌握概念的一般意义，实质上是掌握同类事物的共同关键特征和本质属性。,概念学习：指掌握概念的一般意义，实质上是掌握同类事物的共同关键特征和本质属性。
知识的学习,知识学习的概述,知识学习的类型,据知识本身存在形式和复杂程度,命题学习：指学习由若干概念组成的句子的复合意义，即学习若干概念之间的关系。,命题学习：指学习由若干概念组成的句子的复合意义，即学习若干概念之间的关系。
知识的学习,知识学习的概述,知识学习的类型,据知识与原有认知结构的关系,下位学习：又称类属学习，是一种把新的概念归属于认知结构中原有观念的某一部位，并使之相互联系的过程。,下位学习：又称类属学习，是一种把新的概念归属于认知结构中原有观念的某一部位，并使之相互联系的过程。
知识的学习,知识学习的概述,知识学习的类型,据知识与原有认知结构的关系,上位学习：也叫总括学习，即通过综合归纳获得意义的学习。,上位学习：也叫总括学习，即通过综合归纳获得意义的学习。
知识的学习,知识学习的概述,知识学习的类型,据知识与原有认知结构的关系,并列结合学习：是在新知识与认知结构中的原有观念既非类属关系又非总括关系时产生的。,并列结合学习：是在新知识与认知结构中的原有观念既非类属关系又非总括关系时产生的。
知识的学习,知识学习的概述,知识的学习过程,①知识获得；②知识保持；③知识提取。在上述学习三阶段中应解决的主要心理问题分别是知识同化、保持和应用。,①知识获得；②知识保持；③知识提取。在上述学习三阶段中应解决的主要心理问题分别是知识同化、保持和应用。,①知识获得；②知识保持；③知识提取。在上述学习三阶段中应解决的主要心理问题分别是知识同化、保持和应用。
知识的学习,知识学习的概述,知识学习的作用,1 知识的学习和掌握是学校教学的主要任务之一；,1 知识的学习和掌握是学校教学的主要任务之一；,1 知识的学习和掌握是学校教学的主要任务之一；
知识的学习,知识学习的概述,知识学习的作用,2 知识的学习和掌握是学生各种技能形成和能力发展的重要基础；,2 知识的学习和掌握是学生各种技能形成和能力发展的重要基础；,2 知识的学习和掌握是学生各种技能形成和能力发展的重要基础；
知识的学习,知识学习的概述,知识学习的作用,3 知识学习是创造性产生的必要条件。,3 知识学习是创造性产生的必要条件。,3 知识学习是创造性产生的必要条件。
知识的学习,知识的获得,知识直观,直观：是主体通过对感知到的教学材料的表层意义、表面特征进行加工，从而形成对有关事物的具体的、特殊的、感性的认识的加工过程。直观是理解科学知识的起点，是学生由不知到知的开端，是知识获得的首要环节。,直观：是主体通过对感知到的教学材料的表层意义、表面特征进行加工，从而形成对有关事物的具体的、特殊的、感性的认识的加工过程。直观是理解科学知识的起点，是学生由不知到知的开端，是知识获得的首要环节。,直观：是主体通过对感知到的教学材料的表层意义、表面特征进行加工，从而形成对有关事物的具体的、特殊的、感性的认识的加工过程。直观是理解科学知识的起点，是学生由不知到知的开端，是知识获得的首要环节。
知识的学习,知识的获得,知识直观,知识直观的类型,实物直观：即通过直接感知要学习的实际事物而进行的一种直观方式。,实物直观：即通过直接感知要学习的实际事物而进行的一种直观方式。
知识的学习,知识的获得,知识直观,知识直观的类型,模象直观：模象即事物的模拟形象。所谓模象直观即通过对事物的模象的直接感知而进行的一种直观方式。（例如各种图片、图表、模型、幻灯片和教学电影电视等的观察和演示。）,模象直观：模象即事物的模拟形象。所谓模象直观即通过对事物的模象的直接感知而进行的一种直观方式。（例如各种图片、图表、模型、幻灯片和教学电影电视等的观察和演示。）
知识的学习,知识的获得,知识直观,知识直观的类型,言语直观：是在形象化的言语作用下，通过学生对语言的物质形式（语音、字型）的感知及对语义的理解而进行的一种直观形式。,言语直观：是在形象化的言语作用下，通过学生对语言的物质形式（语音、字型）的感知及对语义的理解而进行的一种直观形式。
知识的学习,知识的获得,知识直观,如何提高知识直观的效果,1 灵活选用实物直观和模象直观；,1 灵活选用实物直观和模象直观；
知识的学习,知识的获得,知识直观,如何提高知识直观的效果,2 加强词与形象的配合；,2 加强词与形象的配合；
知识的学习,知识的获得,知识直观,如何提高知识直观的效果,3 运用感知规律，突出直观对象的特点：强度律，差异律，活动律，组合律。,3 运用感知规律，突出直观对象的特点：强度律，差异律，活动律，组合律。
知识的学习,知识的获得,知识直观,如何提高知识直观的效果,4 培养学生的观察能力；,4 培养学生的观察能力；
知识的学习,知识的获得,知识直观,如何提高知识直观的效果,5 让学生充分参与直观过程。,5 让学生充分参与直观过程。
知识的学习,知识的获得,知识的概括,概括：指主体通过对感性材料的分析、综合、比较、抽象、概括等深度加工改造，从而获得对一类事物的本质特征与内在联系的抽象的、一般的、理性的认识的过程。,概括：指主体通过对感性材料的分析、综合、比较、抽象、概括等深度加工改造，从而获得对一类事物的本质特征与内在联系的抽象的、一般的、理性的认识的过程。,概括：指主体通过对感性材料的分析、综合、比较、抽象、概括等深度加工改造，从而获得对一类事物的本质特征与内在联系的抽象的、一般的、理性的认识的过程。
知识的学习,知识的获得,知识的概括,知识概括的类型       （据抽象程度不同）,知识概括的类型       （据抽象程度不同）,感性概括：即直觉概括，它是在直观的基础上自发进行的一种低级的概括形式。
知识的学习,知识的获得,知识的概括,知识概括的类型       （据抽象程度不同）,知识概括的类型       （据抽象程度不同）,理性概括：是在前人认识的指导下，通过对感性知识经验进行自觉的加工改造，来揭示事物的一般的、本质的特征。
知识的学习,知识的获得,知识的概括,如何有效的进行知识概括,如何有效的进行知识概括,1 配合运用正例和反例；
知识的学习,知识的获得,知识的概括,如何有效的进行知识概括,如何有效的进行知识概括,2 正确的运用变式；变式就是用不同形式的直观材料或事例说明事物的本质属性，即变换同类事物的非本质特征，以便突出本质特征。
知识的学习,知识的获得,知识的概括,如何有效的进行知识概括,如何有效的进行知识概括,3 科学的进行比较；同类比较和异类比较
知识的学习,知识的获得,知识的概括,如何有效的进行知识概括,如何有效的进行知识概括,4 启发学生进行自觉概括。
知识的学习,知识的保持,记忆系统及其特点,瞬时记忆：客观刺激停止作用后，感觉信息在一个极短的时间内保存下来，这种记忆叫感觉记忆或瞬时记忆，它是记忆系统的开始阶段。储存时间0.25-2秒。储存方式具有鲜明的形象性。,瞬时记忆：客观刺激停止作用后，感觉信息在一个极短的时间内保存下来，这种记忆叫感觉记忆或瞬时记忆，它是记忆系统的开始阶段。储存时间0.25-2秒。储存方式具有鲜明的形象性。,瞬时记忆：客观刺激停止作用后，感觉信息在一个极短的时间内保存下来，这种记忆叫感觉记忆或瞬时记忆，它是记忆系统的开始阶段。储存时间0.25-2秒。储存方式具有鲜明的形象性。
知识的学习,知识的保持,记忆系统及其特点,短时记忆：是感觉记忆和长时记忆的中间阶段，保持时间5秒到2分钟。包括直接记忆和工作记忆两个成分。,短时记忆：是感觉记忆和长时记忆的中间阶段，保持时间5秒到2分钟。包括直接记忆和工作记忆两个成分。,短时记忆：是感觉记忆和长时记忆的中间阶段，保持时间5秒到2分钟。包括直接记忆和工作记忆两个成分。
知识的学习,知识的保持,记忆系统及其特点,长时记忆：是指信息经过充分的和有一定深度的加工后，在头脑中长时间保留下来。是一种长久性贮存。贮存方式是有组织的知识系统。,长时记忆：是指信息经过充分的和有一定深度的加工后，在头脑中长时间保留下来。是一种长久性贮存。贮存方式是有组织的知识系统。,长时记忆：是指信息经过充分的和有一定深度的加工后，在头脑中长时间保留下来。是一种长久性贮存。贮存方式是有组织的知识系统。
知识的学习,知识的保持,知识的遗忘及其原因,艾宾浩斯遗忘曲线,艾宾浩斯遗忘曲线,遗忘的发展是不均衡的，其规律是先快后慢，呈负加速型。
知识的学习,知识的保持,知识的遗忘及其原因,遗忘的理论解释,痕迹衰退说：桑代克,痕迹衰退说：桑代克
知识的学习,知识的保持,知识的遗忘及其原因,遗忘的理论解释,干扰说：主要有前摄抑制和倒摄抑制两种情况。,干扰说：主要有前摄抑制和倒摄抑制两种情况。
知识的学习,知识的保持,知识的遗忘及其原因,遗忘的理论解释,同化说：奥苏伯尔——遗忘就其实质来说，是知识的组织与认知结构简化的过程。,同化说：奥苏伯尔——遗忘就其实质来说，是知识的组织与认知结构简化的过程。
知识的学习,知识的保持,知识的遗忘及其原因,遗忘的理论解释,动机说：弗洛伊德——遗忘不是保持的消失而是记忆被压抑。,动机说：弗洛伊德——遗忘不是保持的消失而是记忆被压抑。
