Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Complete,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,,,,,,In progress,,,,,,,,,,,,
,,,,,,Not started,,,,,,,,,,,,
,"[COMPANY] Marketing Calendar, [YEAR]",,,,,,"Conditional Formatting: Type anything in your Months section below, and see the cell change colour. Try it out!",,,,,,,,,,,
,ACTIVITY,ASSET(S),Theme,Team Responsible,Content due date,Status,January,February,March,April,May,June,July,August,September,October,November,December
,Email campaign,Video content from LinkedIn Learning,NY Resolutions,Jane Citizen / HR,2022-01-06 00:00:00,Complete,,,,,,,,,,,,
,Message from CEO,"CEO video log, email to all staff","Welcome to 2021, our priorities this year",Jane Citizen / HR,2022-01-09 00:00:00,In progress,,,,,,,,,,,,
,Email campaign,"Chocolate and flyer desk drop, email",Valentine's Day,,2022-02-03 00:00:00,Not started,,,,,,,,,,,,
,Tech refresh/upskill,"IT team video log, newsletter",Brush up on your IT Skills,HR and IT,,Not started,,,,,,,,,,,,
,Learning Event: Lunch 'n' Learn,Panel of speakers (TBC),,,,Not started,,,,,,,,,,,,
,[Activity name],,,,,Not started,,,,x,,,,,,,,
,[Activity name],,,,,Not started,,,,x,,,,,,,,
,[Activity name],,,,,Not started,x,,,,,,,,,,,
,[Activity name],,,,,Not started,x,,,,,,,,,,,
,[Activity name],,,,,Not started,,x,,,,,,,,,,
,[Activity name],,,,,Not started,,x,,,,,,,,,,
,[Activity name],,,,,Not started,,,,,,,,,,,,
,[Activity name],,,,,Not started,,,,,,,,,,,,
,[Activity name],,,,,Not started,,,,,,,,,,,,
,[Activity name],,,,,Not started,,,,,,,,,,,,
,[Activity name],,,,,Not started,,,,,,,,,,,,
,[Activity name],,,,,Not started,,,,,,,,,,,,
,[Activity name],,,,,Not started,,,,,,,,,,,,
,[Activity name],,,,,Not started,,,,,,,,,,,,
,[Activity name],,,,,Not started,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Need more rows?,,,,,,,,,,,,,,,,,
,"Copy and paste an existing row, or use the Format Painter to grab the formatting!",,,,,,,,,,,,,,,,,
